# name|git url|commit
10S_Nodes|https://github.com/TenStrip/10S-Comfy-nodes.git|fb6edfed97abaf246a826812536eef018d7a1c3b
rgthree-comfy|https://github.com/rgthree/rgthree-comfy.git|8ff50e4521881eca1fe26aec9615fc9362474931
ComfyUI-VideoHelperSuite|https://github.com/Kosinkadink/ComfyUI-VideoHelperSuite.git|4ee72c065db22c9d96c2427954dc69e7b908444b
ComfyUI-Frame-Interpolation|https://github.com/Fannovel16/ComfyUI-Frame-Interpolation.git|26545cc2dd95bc3d27f056016300673bdeee78f5
ComfyUI-KJNodes|https://github.com/kijai/ComfyUI-KJNodes.git|2acdef1766026ff3be00daf3c45f6a064db9100f
ComfyUI-mxToolkit|https://github.com/Smirnov75/ComfyUI-mxToolkit.git|7f7a0e584f12078a1c589645d866ae96bad0cc35
ComfyUI-Easy-Use|https://github.com/yolain/ComfyUI-Easy-Use.git|d60b61d5759b020eff3356b3d395a1adb5456869
ComfyUI-Impact-Pack|https://github.com/ltdrdata/ComfyUI-Impact-Pack.git|429d0159ad429e64d2b3916e6e7be9c22d025c3c
ComfyUI-Custom-Scripts|https://github.com/pythongosssss/ComfyUI-Custom-Scripts.git|609f3afaa74b2f88ef9ce8d939626065e3247469
Comfyui-Memory_Cleanup|https://github.com/LAOGOU-666/Comfyui-Memory_Cleanup.git|58de13a6090e04408e343501ff8902c034d9f518
ControlAltAI-Nodes|https://github.com/gseth/ControlAltAI-Nodes.git|721492b66c9cede8ae23ae10615462ad80cfd061
comfyui-int-and-float|https://github.com/danTheMonk/comfyui-int-and-float.git|a8b5a383ec6b5cff43c2f81a9a3aa24b87c4c720
Nvidia_RTX_Nodes_ComfyUI|https://github.com/Comfy-Org/Nvidia_RTX_Nodes_ComfyUI.git|892515e3eb9a4920a131a502a047e47adca9eb0d
ComfyUI-VFI|https://github.com/GACLove/ComfyUI-VFI.git|6176a430f12cd16003f4664c1e3c6af8e96cc3c6
ComfyUI-LTXVideo|https://github.com/Lightricks/ComfyUI-LTXVideo.git|531512f7286963dc7aff1fd8bf5556e95eae03af
